country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,people_unvaccinated
Afghanistan,2021-02-22,0.0,0.0,,,,39671218.610958900
Afghanistan,2021-02-23,,,,,,
Afghanistan,2021-02-24,,,,,,
Afghanistan,2021-02-25,,,,,,
Afghanistan,2021-02-26,,,,,,
Afghanistan,2021-02-27,,,,,,
Afghanistan,2021-02-28,8200.0,8200.0,,,,39678329.83835620
Afghanistan,2021-03-01,,,,,,
Afghanistan,2021-03-02,,,,,,
Afghanistan,2021-03-03,,,,,,
Afghanistan,2021-03-04,,,,,,
Afghanistan,2021-03-05,,,,,,
Afghanistan,2021-03-06,,,,,,
Afghanistan,2021-03-07,,,,,,
Afghanistan,2021-03-08,,,,,,
Afghanistan,2021-03-09,,,,,,
Afghanistan,2021-03-10,,,,,,
Afghanistan,2021-03-11,,,,,,
Afghanistan,2021-03-12,,,,,,
Afghanistan,2021-03-13,,,,,,
Afghanistan,2021-03-14,,,,,,
Afghanistan,2021-03-15,,,,,,
Afghanistan,2021-03-16,54000.0,54000.0,,,,39673359.77808220
Afghanistan,2021-03-17,,,,,,
Afghanistan,2021-03-18,,,,,,
Afghanistan,2021-03-19,,,,,,
Afghanistan,2021-03-20,,,,,,
Afghanistan,2021-03-21,,,,,,
Afghanistan,2021-03-22,,,,,,
Afghanistan,2021-03-23,,,,,,
Afghanistan,2021-03-24,,,,,,
Afghanistan,2021-03-25,,,,,,
Afghanistan,2021-03-26,,,,,,
Afghanistan,2021-03-27,,,,,,
Afghanistan,2021-03-28,,,,,,
Afghanistan,2021-03-29,,,,,,
Afghanistan,2021-03-30,,,,,,
Afghanistan,2021-03-31,,,,,,
Afghanistan,2021-04-01,,,,,,
Afghanistan,2021-04-02,,,,,,
Afghanistan,2021-04-03,,,,,,
Afghanistan,2021-04-04,,,,,,
Afghanistan,2021-04-05,,,,,,
Afghanistan,2021-04-06,,,,,,
Afghanistan,2021-04-07,120000.0,120000.0,,,,39663500.94520550
Afghanistan,2021-04-08,,,,,,
Afghanistan,2021-04-09,,,,,,
Afghanistan,2021-04-10,,,,,,
Afghanistan,2021-04-11,,,,,,
Afghanistan,2021-04-12,,,,,,
Afghanistan,2021-04-13,,,,,,
Afghanistan,2021-04-14,,,,,,
Afghanistan,2021-04-15,,,,,,
Afghanistan,2021-04-16,,,,,,
Afghanistan,2021-04-17,,,,,,
Afghanistan,2021-04-18,,,,,,
Afghanistan,2021-04-19,,,,,,
Afghanistan,2021-04-20,,,,,,
Afghanistan,2021-04-21,,,,,,
Afghanistan,2021-04-22,240000.0,240000.0,,,,39581779.01369860
Afghanistan,2021-04-23,,,,,,
Afghanistan,2021-04-24,,,,,,
Afghanistan,2021-04-25,,,,,,
Afghanistan,2021-04-26,,,,,,
Afghanistan,2021-04-27,,,,,,
Afghanistan,2021-04-28,,,,,,
Afghanistan,2021-04-29,,,,,,
Afghanistan,2021-04-30,,,,,,
Afghanistan,2021-05-01,,,,,,
Afghanistan,2021-05-02,,,,,,
Afghanistan,2021-05-03,,,,,,
Afghanistan,2021-05-04,,,,,,
Afghanistan,2021-05-05,,,,,,
Afghanistan,2021-05-06,,,,,,
Afghanistan,2021-05-07,,,,,,
Afghanistan,2021-05-08,,,,,,
Afghanistan,2021-05-09,,,,,,
Afghanistan,2021-05-10,,,,,,
Afghanistan,2021-05-11,504502.0,448878.0,55624.0,,,39421386.56712330
Afghanistan,2021-05-12,,,,,,
Afghanistan,2021-05-13,,,,,,
Afghanistan,2021-05-14,,,,,,
Afghanistan,2021-05-15,,,,,,
Afghanistan,2021-05-16,,,,,,
Afghanistan,2021-05-17,,,,,,
Afghanistan,2021-05-18,,,,,,
Afghanistan,2021-05-19,,,,,,
