country,date,total_cases,total_deaths,cases_to_death_ratio
Egypt,2026-07-19,516023,24830,4.81
Bosnia and Herzegovina,2026-07-19,404289,16419,4.06
Afghanistan,2026-07-19,235214,7998,3.40
Ecuador,2026-07-19,1082356,36064,3.33
Gambia,2026-07-19,12627,372,2.95
Bulgaria,2026-07-19,1341082,38778,2.89
Algeria,2026-07-19,272440,6881,2.53
Chad,2026-07-19,7702,194,2.52
Colombia,2026-07-19,6404346,142817,2.23
Cambodia,2026-07-19,139326,3056,2.19
Bahamas,2026-07-19,39127,849,2.17
El Salvador,2026-07-19,202077,4230,2.09
Armenia,2026-07-19,454903,8785,1.93
Eswatini,2026-07-19,75356,1427,1.89
Bolivia,2026-07-19,1212187,22389,1.85
Brazil,2026-07-19,38042729,704045,1.85
Burkina Faso,2026-07-19,22231,400,1.80
Angola,2026-07-19,107487,1937,1.80
Comoros,2026-07-19,9109,160,1.76
Antigua and Barbuda,2026-07-19,9106,146,1.60
Cameroon,2026-07-19,125325,1974,1.58
Congo,2026-07-19,25234,389,1.54
Ethiopia,2026-07-19,501339,7574,1.51
Democratic Republic of Congo,2026-07-19,101010,1474,1.46
Bangladesh,2026-07-19,2052280,29531,1.44
Croatia,2026-07-19,1371705,18806,1.37
Argentina,2026-07-19,10119594,130850,1.29
Fiji,2026-07-19,69047,885,1.28
Azerbaijan,2026-07-19,836510,10353,1.24
Djibouti,2026-07-19,15690,189,1.20
Chile,2026-07-19,5410530,62893,1.16
Canada,2026-07-19,4819055,55282,1.15
Equatorial Guinea,2026-07-19,17130,183,1.07
Albania,2026-07-19,337234,3608,1.07
Eritrea,2026-07-19,10189,103,1.01
Belize,2026-07-19,71499,688,0.96
Georgia,2026-07-19,1864337,17151,0.92
Czechia,2026-07-19,4887551,43995,0.90
Bermuda,2026-07-19,18860,165,0.87
Ghana,2026-07-19,172843,1463,0.85
Botswana,2026-07-19,330699,2801,0.85
British Virgin Islands,2026-07-19,7661,64,0.84
French Polynesia,2026-07-19,79451,650,0.82
Cuba,2026-07-19,1113834,8530,0.77
Costa Rica,2026-07-19,1242945,9396,0.76
Finland,2026-07-19,1518764,11466,0.75
Central African Republic,2026-07-19,15493,113,0.73
Belarus,2026-07-19,994102,7118,0.72
Belgium,2026-07-19,4908331,34339,0.70
Greece,2026-07-19,5867249,40254,0.69
Aruba,2026-07-19,44224,292,0.66
Curacao,2026-07-19,45883,305,0.66
Dominican Republic,2026-07-19,661103,4384,0.66
Cape Verde,2026-07-19,64550,417,0.65
Gabon,2026-07-19,49069,307,0.63
East Timor,2026-07-19,23460,138,0.59
Benin,2026-07-19,28036,163,0.58
Estonia,2026-07-19,617861,3440,0.56
Gibraltar,2026-07-19,20550,113,0.55
Barbados,2026-07-19,109141,593,0.54
Dominica,2026-07-19,16047,74,0.46
Germany,2026-07-19,38437953,174979,0.46
France,2026-07-19,39060935,168207,0.43
French Guiana,2026-07-19,98041,413,0.42
American Samoa,2026-07-19,8359,34,0.41
Austria,2026-07-19,6083792,22534,0.37
Bonaire Sint Eustatius and Saba,2026-07-19,11922,41,0.34
Andorra,2026-07-19,48015,159,0.33
Anguilla,2026-07-19,3904,12,0.31
Denmark,2026-07-19,3453741,10012,0.29
Bahrain,2026-07-19,696614,1536,0.22
Australia,2026-07-19,11861161,25236,0.21
Cyprus,2026-07-19,718930,1364,0.19
China,2026-07-19,99381761,122398,0.12
Cayman Islands,2026-07-19,31472,37,0.12
Faroe Islands,2026-07-19,34658,28,0.08
Brunei,2026-07-19,350550,182,0.05
Cook Islands,2026-07-19,7375,2,0.03
Burundi,2026-07-19,54569,15,0.03
Bhutan,2026-07-19,62961,21,0.03
Greenland,2021-05-01,31,0,0.00
Falkland Islands,2026-07-19,1923,0,0.00
