country,date,total_cases,total_deaths,death_percentage
China,2020-01-01,NULL,NULL,NULL
China,2020-01-02,NULL,NULL,NULL
China,2020-01-03,NULL,NULL,NULL
China,2020-01-04,1,0,0.000
China,2020-01-05,1,0,0.000
China,2020-01-06,4,0,0.000
China,2020-01-07,4,0,0.000
China,2020-01-08,4,0,0.000
China,2020-01-09,4,0,0.000
China,2020-01-10,4,0,0.000
China,2020-01-11,4,0,0.000
China,2020-01-12,45,1,2.222
China,2020-01-13,45,1,2.222
China,2020-01-14,45,1,2.222
China,2020-01-15,45,1,2.222
China,2020-01-16,45,1,2.222
China,2020-01-17,49,2,4.082
China,2020-01-18,49,2,4.082
China,2020-01-19,125,3,2.400
China,2020-01-20,202,4,1.980
China,2020-01-21,295,6,2.034
China,2020-01-22,442,17,3.846
China,2020-01-23,574,18,3.136
China,2020-01-24,835,26,3.114
China,2020-01-25,1297,42,3.238
China,2020-01-26,1985,56,2.821
China,2020-01-27,2761,82,2.970
China,2020-01-28,4533,131,2.890
China,2020-01-29,5997,133,2.218
China,2020-01-30,7736,171,2.210
China,2020-01-31,9720,213,2.191
China,2020-02-01,11821,259,2.191
China,2020-02-02,14411,361,2.505
China,2020-02-03,17238,425,2.465
China,2020-02-04,20471,491,2.399
China,2020-02-05,24363,563,2.311
China,2020-02-06,28060,633,2.256
China,2020-02-07,31211,718,2.300
China,2020-02-08,34598,805,2.327
China,2020-02-09,37251,905,2.429
China,2020-02-10,40235,1012,2.515
China,2020-02-11,42708,1112,2.604
China,2020-02-12,44730,1117,2.497
China,2020-02-13,59882,1369,2.286
China,2020-02-14,63932,1521,2.379
China,2020-02-15,66576,1663,2.498
China,2020-02-16,68584,1767,2.576
China,2020-02-17,70635,1865,2.640
China,2020-02-18,72528,2004,2.763
China,2020-02-19,74278,2117,2.850
China,2020-02-20,74675,2239,2.998
China,2020-02-21,75568,2239,2.963
China,2020-02-22,76393,2444,3.199
China,2020-02-23,77042,2446,3.175
China,2020-02-24,77262,2596,3.360
China,2020-02-25,77779,2666,3.428
China,2020-02-26,78190,2718,3.476
China,2020-02-27,78630,2747,3.494
China,2020-02-28,78959,2791,3.535
China,2020-02-29,79389,2838,3.575
China,2020-03-01,79968,2873,3.593
China,2020-03-02,80174,2915,3.636
China,2020-03-03,80302,2948,3.671
China,2020-03-04,80422,2984,3.710
China,2020-03-05,80565,3016,3.744
China,2020-03-06,80710,3045,3.773
China,2020-03-07,80813,3073,3.803
China,2020-03-08,80859,3101,3.835
China,2020-03-09,80904,3124,3.861
China,2020-03-10,80924,3140,3.880
China,2020-03-11,80955,3162,3.906
China,2020-03-12,80980,3173,3.918
China,2020-03-13,80991,3181,3.928
China,2020-03-14,81021,3194,3.942
China,2020-03-15,81048,3204,3.953
China,2020-03-16,81077,3218,3.969
China,2020-03-17,81117,3231,3.983
China,2020-03-18,81151,3242,3.995
China,2020-03-19,81237,3250,4.001
China,2020-03-20,81300,3255,4.004
China,2020-03-21,81416,3261,4.005
China,2020-03-22,81498,3267,4.009
China,2020-03-23,81601,3276,4.015
China,2020-03-24,81747,3283,4.016
China,2020-03-25,81848,3287,4.016
China,2020-03-26,81961,3293,4.018
China,2020-03-27,82078,3298,4.018
China,2020-03-28,82213,3301,4.015
China,2020-03-29,82341,3306,4.015
China,2020-03-30,82447,3310,4.015
China,2020-03-31,82545,3314,4.015
China,2020-04-01,82631,3321,4.019
China,2020-04-02,82724,3327,4.022
China,2020-04-03,82802,3331,4.023
China,2020-04-04,82875,3335,4.024
China,2020-04-05,82930,3338,4.025
China,2020-04-06,83005,3340,4.024
China,2020-04-07,83072,3340,4.021
China,2020-04-08,83157,3342,4.019
China,2020-04-09,83249,3344,4.017
China,2020-04-10,83305,3345,4.015
China,2020-04-11,83369,3349,4.017
China,2020-04-12,83482,3349,4.012
China,2020-04-13,83597,3351,4.009
China,2020-04-14,83696,3351,4.004
China,2020-04-15,83745,3352,4.003
China,2020-04-16,83797,3352,4.000
China,2020-04-17,83824,3352,3.999
China,2020-04-18,84180,4642,5.514
China,2020-04-19,84201,4642,5.513
China,2020-04-20,84237,4642,5.511
China,2020-04-21,84250,4642,5.510
China,2020-04-22,84287,4642,5.507
China,2020-04-23,84302,4642,5.506
China,2020-04-24,84311,4642,5.506
China,2020-04-25,84324,4642,5.505
China,2020-04-26,84338,4642,5.504
China,2020-04-27,84341,4643,5.505
China,2020-04-28,84347,4643,5.505
China,2020-04-29,84369,4643,5.503
China,2020-04-30,84373,4643,5.503
China,2020-05-01,84385,4643,5.502
China,2020-05-02,84388,4643,5.502
China,2020-05-03,84393,4643,5.502
China,2020-05-04,84400,4643,5.501
China,2020-05-05,84404,4643,5.501
China,2020-05-06,84406,4643,5.501
China,2020-05-07,84409,4643,5.501
China,2020-05-08,84415,4643,5.500
China,2020-05-09,84416,4643,5.500
China,2020-05-10,84430,4643,5.499
China,2020-05-11,84450,4643,5.498
China,2020-05-12,84451,4644,5.499
China,2020-05-13,84458,4644,5.499
China,2020-05-14,84464,4644,5.498
China,2020-05-15,84469,4644,5.498
China,2020-05-16,84478,4644,5.497
China,2020-05-17,84484,4645,5.498
China,2020-05-18,84494,4645,5.497
China,2020-05-19,84500,4645,5.497
China,2020-05-20,84505,4645,5.497
China,2020-05-21,84507,4645,5.497
China,2020-05-22,84520,4645,5.496
China,2020-05-23,84522,4645,5.496
China,2020-05-24,84525,4645,5.495
China,2020-05-25,84536,4645,5.495
China,2020-05-26,84543,4645,5.494
China,2020-05-27,84544,4645,5.494
China,2020-05-28,84547,4645,5.494
China,2020-05-29,84547,4645,5.494
China,2020-05-30,84565,4645,5.493
China,2020-05-31,84570,4645,5.492
China,2020-06-01,84588,4645,5.491
China,2020-06-02,84597,4645,5.491
China,2020-06-03,84602,4645,5.490
China,2020-06-04,84603,4645,5.490
China,2020-06-05,84614,4645,5.490
China,2020-06-06,84620,4645,5.489
China,2020-06-07,84629,4645,5.489
China,2020-06-08,84634,4645,5.488
China,2020-06-09,84638,4645,5.488
China,2020-06-10,84641,4645,5.488
China,2020-06-11,84652,4645,5.487
China,2020-06-12,84659,4645,5.487
China,2020-06-13,84671,4645,5.486
China,2020-06-14,84729,4645,5.482
China,2020-06-15,84778,4645,5.479
China,2020-06-16,84823,4645,5.476
China,2020-06-17,84867,4645,5.473
China,2020-06-18,84903,4645,5.471
China,2020-06-19,84940,4645,5.469
China,2020-06-20,84970,4645,5.467
China,2020-06-21,84997,4646,5.466
China,2020-06-22,85018,4646,5.465
China,2020-06-23,85070,4646,5.461
China,2020-06-24,85098,4647,5.461
China,2020-06-25,85119,4647,5.459
China,2020-06-26,85148,4648,5.459
China,2020-06-27,85172,4648,5.457
China,2020-06-28,85190,4648,5.456
China,2020-06-29,85204,4648,5.455
China,2020-06-30,85227,4648,5.454
China,2020-07-01,85232,4648,5.453
China,2020-07-02,85263,4648,5.451
China,2020-07-03,85278,4648,5.450
China,2020-07-04,85287,4648,5.450
China,2020-07-05,85306,4648,5.449
China,2020-07-06,85320,4648,5.448
China,2020-07-07,85345,4648,5.446
China,2020-07-08,85366,4648,5.445
China,2020-07-09,85399,4648,5.443
China,2020-07-10,85445,4648,5.440
China,2020-07-11,85487,4648,5.437
China,2020-07-12,85522,4648,5.435
China,2020-07-13,85568,4648,5.432
China,2020-07-14,85623,4649,5.430
China,2020-07-15,85677,4649,5.426
China,2020-07-16,85697,4651,5.427
China,2020-07-17,85775,4651,5.422
China,2020-07-18,85857,4652,5.418
China,2020-07-19,85937,4653,5.414
China,2020-07-20,86068,4653,5.406
China,2020-07-21,86152,4653,5.401
China,2020-07-22,86226,4655,5.399
China,2020-07-23,86361,4655,5.390
China,2020-07-24,86500,4656,5.383
China,2020-07-25,86660,4657,5.374
China,2020-07-26,86839,4659,5.365
China,2020-07-27,87028,4659,5.353
China,2020-07-28,87245,4663,5.345
China,2020-07-29,87457,4664,5.333
China,2020-07-30,87680,4665,5.320
China,2020-07-31,87956,4666,5.305
China,2020-08-01,88122,4668,5.297
China,2020-08-02,88302,4674,5.293
China,2020-08-03,88460,4677,5.287
China,2020-08-04,88574,4678,5.281
China,2020-08-05,88682,4683,5.281
China,2020-08-06,88804,4684,5.275
China,2020-08-07,88937,4687,5.270
China,2020-08-08,89057,4688,5.264
China,2020-08-09,89149,4688,5.259
China,2020-08-10,89270,4693,5.257
China,2020-08-11,89383,4696,5.254
China,2020-08-12,89444,4699,5.254
China,2020-08-13,89526,4704,5.254
China,2020-08-14,89625,4707,5.252
China,2020-08-15,89695,4708,5.249
China,2020-08-16,89761,4710,5.247
China,2020-08-17,89859,4710,5.242
China,2020-08-18,89926,4710,5.238
China,2020-08-19,89980,4712,5.237
China,2020-08-20,90013,4713,5.236
China,2020-08-21,90053,4716,5.237
China,2020-08-22,90103,4716,5.234
China,2020-08-23,90141,4717,5.233
China,2020-08-24,90182,4718,5.232
China,2020-08-25,90205,4718,5.230
China,2020-08-26,90239,4719,5.229
China,2020-08-27,90271,4720,5.229
China,2020-08-28,90301,4722,5.229
China,2020-08-29,90323,4725,5.231
China,2020-08-30,90351,4728,5.233
China,2020-08-31,90383,4729,5.232
China,2020-09-01,90402,4730,5.232
China,2020-09-02,90422,4731,5.232
China,2020-09-03,90442,4734,5.234
China,2020-09-04,90475,4735,5.233
China,2020-09-05,90498,4735,5.232
China,2020-09-06,90517,4735,5.231
China,2020-09-07,90551,4737,5.231
China,2020-09-08,90573,4739,5.232
China,2020-09-09,90582,4740,5.233
China,2020-09-10,90595,4740,5.232
China,2020-09-11,90623,4740,5.230
China,2020-09-12,90643,4740,5.229
China,2020-09-13,90666,4741,5.229
China,2020-09-14,90695,4741,5.227
China,2020-09-15,90718,4742,5.227
China,2020-09-16,90734,4743,5.227
China,2020-09-17,90753,4743,5.226
China,2020-09-18,90797,4743,5.224
China,2020-09-19,90814,4744,5.224
China,2020-09-20,90840,4744,5.222
China,2020-09-21,90876,4744,5.220
China,2020-09-22,90890,4744,5.219
China,2020-09-23,90908,4744,5.218
China,2020-09-24,90918,4745,5.219
China,2020-09-25,90933,4745,5.218
China,2020-09-26,90951,4746,5.218
China,2020-09-27,90966,4746,5.217
China,2020-09-28,90993,4746,5.216
China,2020-09-29,91018,4746,5.214
China,2020-09-30,91041,4746,5.213
China,2020-10-01,91061,4746,5.212
China,2020-10-02,91082,4746,5.211
China,2020-10-03,91101,4746,5.210
China,2020-10-04,91121,4746,5.208
China,2020-10-05,91146,4746,5.207
China,2020-10-06,91170,4746,5.206
China,2020-10-07,91188,4746,5.205
China,2020-10-08,91212,4746,5.203
China,2020-10-09,91252,4746,5.201
China,2020-10-10,91278,4746,5.200
China,2020-10-11,91305,4746,5.198
China,2020-10-12,91333,4746,5.196
China,2020-10-13,91359,4746,5.195
China,2020-10-14,91387,4746,5.193
China,2020-10-15,91398,4746,5.193
China,2020-10-16,91435,4746,5.191
China,2020-10-17,91459,4746,5.189
China,2020-10-18,91489,4746,5.188
China,2020-10-19,91506,4746,5.187
China,2020-10-20,91545,4746,5.184
China,2020-10-21,91564,4746,5.183
China,2020-10-22,91587,4746,5.182
China,2020-10-23,91620,4746,5.180
China,2020-10-24,91652,4746,5.178
China,2020-10-25,91674,4746,5.177
China,2020-10-26,91700,4746,5.176
China,2020-10-27,91724,4746,5.174
China,2020-10-28,91771,4746,5.172
China,2020-10-29,91821,4746,5.169
China,2020-10-30,91852,4746,5.167
China,2020-10-31,91893,4746,5.165
China,2020-11-01,91921,4746,5.163
China,2020-11-02,91955,4746,5.161
China,2020-11-03,92015,4746,5.158
China,2020-11-04,92045,4746,5.156
China,2020-11-05,92077,4747,5.155
China,2020-11-06,92121,4748,5.154
China,2020-11-07,92164,4748,5.152
China,2020-11-08,92195,4748,5.150
China,2020-11-09,92242,4748,5.147
China,2020-11-10,92271,4748,5.146
China,2020-11-11,92299,4749,5.145
China,2020-11-12,92336,4749,5.143
China,2020-11-13,92372,4749,5.141
China,2020-11-14,92404,4749,5.139
China,2020-11-15,92428,4749,5.138
China,2020-11-16,92452,4749,5.137
China,2020-11-17,92476,4749,5.135
China,2020-11-18,92490,4749,5.135
China,2020-11-19,92513,4749,5.133
China,2020-11-20,92544,4749,5.132
China,2020-11-21,92588,4749,5.129
China,2020-11-22,92648,4749,5.126
China,2020-11-23,92733,4749,5.121
China,2020-11-24,92829,4749,5.116
China,2020-11-25,92914,4749,5.111
China,2020-11-26,93025,4749,5.105
China,2020-11-27,93113,4749,5.100
China,2020-11-28,93225,4749,5.094
China,2020-11-29,93329,4750,5.090
China,2020-11-30,93465,4750,5.082
China,2020-12-01,93577,4750,5.076
China,2020-12-02,93668,4750,5.071
China,2020-12-03,93797,4751,5.065
China,2020-12-04,93905,4752,5.060
China,2020-12-05,94038,4753,5.054
China,2020-12-06,94160,4753,5.048
China,2020-12-07,94293,4753,5.041
China,2020-12-08,94383,4753,5.036
China,2020-12-09,94500,4753,5.030
China,2020-12-10,94618,4755,5.025
China,2020-12-11,94749,4755,5.019
China,2020-12-12,94849,4755,5.013
China,2020-12-13,94950,4756,5.009
China,2020-12-14,95064,4758,5.005
China,2020-12-15,95167,4761,5.003
China,2020-12-16,95279,4764,5.000
China,2020-12-17,95375,4764,4.995
China,2020-12-18,95491,4766,4.991
China,2020-12-19,95580,4770,4.991
China,2020-12-20,95716,4770,4.983
China,2020-12-21,95816,4771,4.979
China,2020-12-22,95916,4772,4.975
China,2020-12-23,95998,4773,4.972
China,2020-12-24,96074,4774,4.969
China,2020-12-25,96159,4776,4.967
China,2020-12-26,96240,4777,4.964
China,2020-12-27,96324,4777,4.959
China,2020-12-28,96417,4778,4.956
China,2020-12-29,96513,4782,4.955
China,2020-12-30,96592,4784,4.953
China,2020-12-31,96673,4788,4.953
China,2021-01-01,96829,4789,4.946
China,2021-01-02,96894,4790,4.944
China,2021-01-03,96972,4791,4.941
China,2021-01-04,97061,4791,4.936
China,2021-01-05,97127,4794,4.936
China,2021-01-06,97217,4794,4.931
China,2021-01-07,97306,4795,4.928
China,2021-01-08,97387,4795,4.924
China,2021-01-09,97518,4796,4.918
China,2021-01-10,97652,4798,4.913
China,2021-01-11,97754,4799,4.909
China,2021-01-12,97933,4800,4.901
China,2021-01-13,98117,4801,4.893
China,2021-01-14,98290,4803,4.887
China,2021-01-15,98459,4803,4.878
China,2021-01-16,98625,4803,4.870
China,2021-01-17,98794,4804,4.863
China,2021-01-18,99026,4804,4.851
China,2021-01-19,99191,4805,4.844
China,2021-01-20,99414,4807,4.835
China,2021-01-21,99589,4808,4.828
China,2021-01-22,99767,4809,4.820
China,2021-01-23,99931,4810,4.813
China,2021-01-24,100136,4810,4.803
China,2021-01-25,100291,4811,4.797
China,2021-01-26,100431,4814,4.793
China,2021-01-27,100548,4816,4.790
China,2021-01-28,100641,4818,4.787
China,2021-01-29,100747,4820,4.784
China,2021-01-30,100877,4821,4.779
China,2021-01-31,100974,4823,4.776
China,2021-02-01,101039,4825,4.775
China,2021-02-02,101092,4826,4.774
China,2021-02-03,101143,4828,4.773
China,2021-02-04,101187,4829,4.772
China,2021-02-05,101241,4831,4.772
China,2021-02-06,101272,4831,4.770
China,2021-02-07,101316,4831,4.768
China,2021-02-08,101363,4831,4.766
China,2021-02-09,101408,4831,4.764
China,2021-02-10,101429,4833,4.765
China,2021-02-11,101463,4834,4.764
China,2021-02-12,101496,4836,4.765
China,2021-02-13,101515,4837,4.765
