country,max_total_cases,population,max_infected_percentage
Brunei,350550,455374,76.98
Austria,6083792,9064678,67.12
Faroe Islands,34658,54039,64.14
Andorra,48015,79722,60.23
France,39060935,66277412,58.94
Denmark,3453741,5902901,58.51
Greece,5867249,10412481,56.35
Falkland Islands,1923,3515,54.71
Gibraltar,20550,37631,54.61
Cyprus,718930,1331376,54.00
Cook Islands,7375,14747,50.01
Georgia,1864337,3794782,49.13
Czechia,4887551,10673216,45.79
Estonia,617861,1350093,45.76
Germany,38437953,84086227,45.71
Bahrain,696614,1533460,45.43
Australia,11861161,26200987,45.27
Cayman Islands,31472,71610,43.95
Belgium,4908331,11641814,42.16
Bonaire Sint Eustatius and Saba,11922,28654,41.61
Aruba,44224,107792,41.03
Barbados,109141,282324,38.66
Croatia,1371705,3907031,35.11
French Guiana,98041,298319,32.86
Bermuda,18860,64772,29.12
French Polynesia,79451,280388,28.34
Chile,5410530,19553033,27.67
Anguilla,3904,14202,27.49
Finland,1518764,5569300,27.27
Curacao,45883,185350,24.75
Costa Rica,1242945,5081764,24.46
Dominica,16047,66847,24.01
Argentina,10119594,45407904,22.29
British Virgin Islands,7661,38346,19.98
Bulgaria,1341082,6825862,19.65
Brazil,38042729,210306411,18.09
Belize,71499,402741,17.75
American Samoa,8359,48365,17.28
Armenia,454903,2880880,15.79
Botswana,330699,2439895,13.55
Bosnia and Herzegovina,404289,3204802,12.62
Cape Verde,64550,519750,12.42
Canada,4819055,38821259,12.41
Colombia,6404346,51737944,12.38
Albania,337234,2827614,11.93
Belarus,994102,9173240,10.84
Cuba,1113834,11059822,10.07
Bolivia,1212187,12077156,10.04
Bahamas,39127,397542,9.84
Antigua and Barbuda,9106,92850,9.81
Azerbaijan,836510,10295307,8.13
Bhutan,62961,780921,8.06
Fiji,69047,919428,7.51
China,99381761,1425179562,6.97
Eswatini,75356,1218921,6.18
Ecuador,1082356,17823900,6.07
Dominican Republic,661103,11230734,5.89
El Salvador,202077,6280316,3.22
Gabon,49069,2430750,2.02
East Timor,23460,1369299,1.71
Djibouti,15690,1137101,1.38
Bangladesh,2052280,169384891,1.21
Comoros,9109,834191,1.09
Equatorial Guinea,17130,1803549,0.95
Cambodia,139326,17201721,0.81
Algeria,272440,45477391,0.60
Afghanistan,235214,40578847,0.58
Ghana,172843,33149152,0.52
Gambia,12627,2636472,0.48
Egypt,516023,112618252,0.46
Cameroon,125325,27632770,0.45
Congo,25234,6035104,0.42
Burundi,54569,13321102,0.41
Ethiopia,501339,125384285,0.40
Central African Republic,15493,5098038,0.30
Angola,107487,35635028,0.30
Eritrea,10189,3409450,0.30
Benin,28036,13759507,0.20
Burkina Faso,22231,22509038,0.10
Democratic Republic of Congo,101010,102396974,0.10
Greenland,31,56014,0.06
Chad,7702,18455319,0.04
Cote d'Ivoire,NULL,30395004,NULL
Greenland,31,NULL,NULL
